Country,Continent,Risk Score,Advisory Message,Last Updated,Source
Guadeloupe,NA,4.0,Guadeloupe has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Guadeloupe.,2024-08-13 08:21:03,https://www.travel-advisory.info/guadeloupe
Equatorial Guinea,AF,3.0,Equatorial Guinea has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Equatorial Guinea.,2024-08-13 08:21:03,https://www.travel-advisory.info/equatorial-guinea
Greece,EU,2.8,Greece has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Greece.,2024-08-13 08:21:03,https://www.travel-advisory.info/greece
South Georgia and the South Sandwich Islands,AN,0.0,South Georgia and the South Sandwich Islands has a current risk level of 0 (out of 5). We advise: Travelling South Georgia and the South Sandwich Islands is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/south-georgia-and-the-south-sandwich-islands
Guatemala,NA,3.4,Guatemala has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling Guatemala.,2024-08-13 08:21:03,https://www.travel-advisory.info/guatemala
Guam,OC,4.0,Guam has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Guam.,2024-08-13 08:21:03,https://www.travel-advisory.info/guam
Guinea-Bissau,AF,3.0,Guinea-Bissau has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Guinea-Bissau.,2024-08-13 08:21:03,https://www.travel-advisory.info/guinea-bissau
Guyana,SA,4.0,Guyana has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Guyana.,2024-08-13 08:21:03,https://www.travel-advisory.info/guyana
Hong Kong,AS,3.6,Hong Kong has a current risk level of 3.6 (out of 5). We advise: Please reconsider your need to travel to Hong Kong.,2024-08-13 08:21:03,https://www.travel-advisory.info/hong-kong
Honduras,NA,3.4,Honduras has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling Honduras.,2024-08-13 08:21:03,https://www.travel-advisory.info/honduras
Croatia,EU,2.8,Croatia has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Croatia.,2024-08-13 08:21:03,https://www.travel-advisory.info/croatia
Haiti,NA,4.8,Haiti has a current risk level of 4.8 (out of 5). We advise: It is not safe to travel Haiti.,2024-08-13 08:21:03,https://www.travel-advisory.info/haiti
Hungary,EU,2.8,Hungary has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Hungary.,2024-08-13 08:21:03,https://www.travel-advisory.info/hungary
Indonesia,AS,3.4,Indonesia has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling Indonesia.,2024-08-13 08:21:03,https://www.travel-advisory.info/indonesia
Ireland,EU,2.5,Ireland has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Ireland.,2024-08-13 08:21:03,https://www.travel-advisory.info/ireland
Israel,AS,4.2,Israel has a current risk level of 4.2 (out of 5). We advise: Please reconsider your need to travel to Israel.,2024-08-13 08:21:03,https://www.travel-advisory.info/israel
Isle of Man,EU,0.0,Isle of Man has a current risk level of 0 (out of 5). We advise: Travelling Isle of Man is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/isle-of-man
India,AS,3.4,India has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling India.,2024-08-13 08:21:03,https://www.travel-advisory.info/india
Iraq,AS,4.8,Iraq has a current risk level of 4.8 (out of 5). We advise: It is not safe to travel Iraq.,2024-08-13 08:21:03,https://www.travel-advisory.info/iraq
Iran,AS,4.5,Iran has a current risk level of 4.5 (out of 5). We advise: It is not safe to travel Iran.,2024-08-13 08:21:03,https://www.travel-advisory.info/iran
Iceland,EU,2.8,Iceland has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Iceland.,2024-08-13 08:21:03,https://www.travel-advisory.info/iceland
Italy,EU,3.0,Italy has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Italy.,2024-08-13 08:21:03,https://www.travel-advisory.info/italy
Jersey,EU,0.0,Jersey has a current risk level of 0 (out of 5). We advise: Travelling Jersey is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/jersey
Jamaica,NA,3.8,Jamaica has a current risk level of 3.8 (out of 5). We advise: Please reconsider your need to travel to Jamaica.,2024-08-13 08:21:03,https://www.travel-advisory.info/jamaica
Jordan,AS,3.2,Jordan has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Jordan.,2024-08-13 08:21:03,https://www.travel-advisory.info/jordan
Japan,AS,2.8,Japan has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Japan.,2024-08-13 08:21:03,https://www.travel-advisory.info/japan
Kenya,AF,3.1,Kenya has a current risk level of 3.1 (out of 5). We advise: Use some caution when travelling Kenya.,2024-08-13 08:21:03,https://www.travel-advisory.info/kenya
Kyrgyzstan,AS,2.3,Kyrgyzstan has a current risk level of 2.3 (out of 5). We advise: Travelling Kyrgyzstan is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/kyrgyzstan
Cambodia,AS,3.0,Cambodia has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Cambodia.,2024-08-13 08:21:03,https://www.travel-advisory.info/cambodia
Kiribati,OC,1.0,Kiribati has a current risk level of 1 (out of 5). We advise: Travelling Kiribati is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/kiribati
Comoros,AF,3.0,Comoros has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Comoros.,2024-08-13 08:21:03,https://www.travel-advisory.info/comoros
Saint Kitts and Nevis,NA,2.5,Saint Kitts and Nevis has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Saint Kitts and Nevis.,2024-08-13 08:21:03,https://www.travel-advisory.info/saint-kitts-and-nevis
North Korea,AS,4.4,North Korea has a current risk level of 4.4 (out of 5). We advise: Please reconsider your need to travel to North Korea.,2024-08-13 08:21:03,https://www.travel-advisory.info/north-korea
South Korea,AS,2.3,South Korea has a current risk level of 2.3 (out of 5). We advise: Travelling South Korea is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/south-korea
Kuwait,AS,3.2,Kuwait has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Kuwait.,2024-08-13 08:21:03,https://www.travel-advisory.info/kuwait
Cayman Islands,NA,2.5,Cayman Islands has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Cayman Islands.,2024-08-13 08:21:03,https://www.travel-advisory.info/cayman-islands
Kazakhstan,AS,3.0,Kazakhstan has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Kazakhstan.,2024-08-13 08:21:03,https://www.travel-advisory.info/kazakhstan
Laos,AS,3.0,Laos has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Laos.,2024-08-13 08:21:03,https://www.travel-advisory.info/laos
Lebanon,AS,4.2,Lebanon has a current risk level of 4.2 (out of 5). We advise: Please reconsider your need to travel to Lebanon.,2024-08-13 08:21:03,https://www.travel-advisory.info/lebanon
Saint Lucia,NA,2.5,Saint Lucia has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Saint Lucia.,2024-08-13 08:21:03,https://www.travel-advisory.info/saint-lucia
Liechtenstein,EU,2.3,Liechtenstein has a current risk level of 2.3 (out of 5). We advise: Travelling Liechtenstein is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/liechtenstein
Sri Lanka,AS,3.1,Sri Lanka has a current risk level of 3.1 (out of 5). We advise: Use some caution when travelling Sri Lanka.,2024-08-13 08:21:03,https://www.travel-advisory.info/sri-lanka
Liberia,AF,3.5,Liberia has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Liberia.,2024-08-13 08:21:03,https://www.travel-advisory.info/liberia
Lesotho,AF,3.0,Lesotho has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Lesotho.,2024-08-13 08:21:03,https://www.travel-advisory.info/lesotho
Lithuania,EU,2.6,Lithuania has a current risk level of 2.6 (out of 5). We advise: Use some caution when travelling Lithuania.,2024-08-13 08:21:03,https://www.travel-advisory.info/lithuania
Luxembourg,EU,2.3,Luxembourg has a current risk level of 2.3 (out of 5). We advise: Travelling Luxembourg is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/luxembourg
Latvia,EU,2.6,Latvia has a current risk level of 2.6 (out of 5). We advise: Use some caution when travelling Latvia.,2024-08-13 08:21:03,https://www.travel-advisory.info/latvia
Libya,AF,5.0,Libya has a current risk level of 5 (out of 5). We advise: It is not safe to travel Libya.,2024-08-13 08:21:03,https://www.travel-advisory.info/libya
Morocco,AF,3.0,Morocco has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Morocco.,2024-08-13 08:21:03,https://www.travel-advisory.info/morocco
Monaco,EU,3.0,Monaco has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Monaco.,2024-08-13 08:21:03,https://www.travel-advisory.info/monaco
Moldova,EU,3.0,Moldova has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Moldova.,2024-08-13 08:21:03,https://www.travel-advisory.info/moldova
Montenegro,EU,3.2,Montenegro has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Montenegro.,2024-08-13 08:21:03,https://www.travel-advisory.info/montenegro
Saint Martin,NA,0.0,Saint Martin has a current risk level of 0 (out of 5). We advise: Travelling Saint Martin is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/saint-martin
Madagascar,AF,3.0,Madagascar has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Madagascar.,2024-08-13 08:21:03,https://www.travel-advisory.info/madagascar
Marshall Islands,OC,3.0,Marshall Islands has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Marshall Islands.,2024-08-13 08:21:03,https://www.travel-advisory.info/marshall-islands
Macedonia,EU,2.3,Macedonia has a current risk level of 2.3 (out of 5). We advise: Travelling Macedonia is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/macedonia
Mali,AF,4.6,Mali has a current risk level of 4.6 (out of 5). We advise: It is not safe to travel Mali.,2024-08-13 08:21:03,https://www.travel-advisory.info/mali
Myanmar,AS,4.6,Myanmar has a current risk level of 4.6 (out of 5). We advise: It is not safe to travel Myanmar.,2024-08-13 08:21:03,https://www.travel-advisory.info/myanmar
Mongolia,AS,2.8,Mongolia has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Mongolia.,2024-08-13 08:21:03,https://www.travel-advisory.info/mongolia
Macao,AS,3.0,Macao has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Macao.,2024-08-13 08:21:03,https://www.travel-advisory.info/macao
Northern Mariana Islands,OC,0.0,Northern Mariana Islands has a current risk level of 0 (out of 5). We advise: Travelling Northern Mariana Islands is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/northern-mariana-islands
Martinique,NA,4.0,Martinique has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Martinique.,2024-08-13 08:21:03,https://www.travel-advisory.info/martinique
Mauritania,AF,3.8,Mauritania has a current risk level of 3.8 (out of 5). We advise: Please reconsider your need to travel to Mauritania.,2024-08-13 08:21:03,https://www.travel-advisory.info/mauritania
Montserrat,NA,2.5,Montserrat has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Montserrat.,2024-08-13 08:21:03,https://www.travel-advisory.info/montserrat
Malta,EU,3.0,Malta has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Malta.,2024-08-13 08:21:03,https://www.travel-advisory.info/malta
Mauritius,AF,3.0,Mauritius has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Mauritius.,2024-08-13 08:21:03,https://www.travel-advisory.info/mauritius
Maldives,AS,3.4,Maldives has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling Maldives.,2024-08-13 08:21:03,https://www.travel-advisory.info/maldives
Malawi,AF,3.0,Malawi has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Malawi.,2024-08-13 08:21:03,https://www.travel-advisory.info/malawi
Mexico,NA,3.6,Mexico has a current risk level of 3.6 (out of 5). We advise: Please reconsider your need to travel to Mexico.,2024-08-13 08:21:03,https://www.travel-advisory.info/mexico
Malaysia,AS,2.8,Malaysia has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Malaysia.,2024-08-13 08:21:03,https://www.travel-advisory.info/malaysia
Mozambique,AF,3.0,Mozambique has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Mozambique.,2024-08-13 08:21:03,https://www.travel-advisory.info/mozambique
Namibia,AF,3.0,Namibia has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Namibia.,2024-08-13 08:21:03,https://www.travel-advisory.info/namibia
New Caledonia,OC,4.0,New Caledonia has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to New Caledonia.,2024-08-13 08:21:03,https://www.travel-advisory.info/new-caledonia
Niger,AF,4.7,Niger has a current risk level of 4.7 (out of 5). We advise: It is not safe to travel Niger.,2024-08-13 08:21:03,https://www.travel-advisory.info/niger
Norfolk Island,OC,0.0,Norfolk Island has a current risk level of 0 (out of 5). We advise: Travelling Norfolk Island is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/norfolk-island
Nigeria,AF,3.8,Nigeria has a current risk level of 3.8 (out of 5). We advise: Please reconsider your need to travel to Nigeria.,2024-08-13 08:21:03,https://www.travel-advisory.info/nigeria
Nicaragua,NA,3.6,Nicaragua has a current risk level of 3.6 (out of 5). We advise: Please reconsider your need to travel to Nicaragua.,2024-08-13 08:21:03,https://www.travel-advisory.info/nicaragua
Netherlands,EU,3.3,Netherlands has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Netherlands.,2024-08-13 08:21:03,https://www.travel-advisory.info/netherlands
