Country,Continent,Risk Score,Advisory Message,Last Updated,Source,Latitude,Longitude,Recommendation,Details
Bhutan,AS,3.0,Bhutan has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Bhutan.,2024-08-13 08:21:03,https://www.travel-advisory.info/bhutan,27.549511,90.5119273,Travel with Caution,Bhutan has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Bhutan.
Botswana,AF,3.0,Botswana has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Botswana.,2024-08-13 08:21:03,https://www.travel-advisory.info/botswana,-23.1681782,24.5928742,Travel with Caution,Botswana has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Botswana.
Belarus,EU,4.9,Belarus has a current risk level of 4.9 (out of 5). We advise: It is not safe to travel Belarus.,2024-08-13 08:21:03,https://www.travel-advisory.info/belarus,53.4250605,27.6971358,Not Recommended for Travel,Belarus has a current risk level of 4.9 (out of 5). We advise: It is not safe to travel Belarus.
Belize,,3.0,Belize has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Belize.,2024-08-13 08:21:03,https://www.travel-advisory.info/belize,17.1204943,-88.6859028,Travel with Caution,Belize has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Belize.
Canada,,2.8,Canada has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Canada.,2024-08-13 08:21:03,https://www.travel-advisory.info/canada,61.0666922,-107.991707,Travel with Caution,Canada has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Canada.
Cocos Islands,SA,0.0,Cocos Islands has a current risk level of 0 (out of 5). We advise: Travelling Cocos Islands is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/cocos-islands,-12.0728315,96.8409375,Safe to Travel,Cocos Islands has a current risk level of 0 (out of 5). We advise: Travelling Cocos Islands is (relatively) safe.
Democratic Republic of the Congo,AF,3.7,Democratic Republic of the Congo has a current risk level of 3.7 (out of 5). We advise: Please reconsider your need to travel to Democratic Republic of the Congo.,2024-08-13 08:21:03,https://www.travel-advisory.info/democratic-republic-of-the-congo,-2.9814344,23.8222636,Travel with Caution,Democratic Republic of the Congo has a current risk level of 3.7 (out of 5). We advise: Please reconsider your need to travel to Democratic Republic of the Congo.
Central African Republic,AF,5.0,Central African Republic has a current risk level of 5 (out of 5). We advise: It is not safe to travel Central African Republic.,2024-08-13 08:21:03,https://www.travel-advisory.info/central-african-republic,7.0323598,19.9981227,Not Recommended for Travel,Central African Republic has a current risk level of 5 (out of 5). We advise: It is not safe to travel Central African Republic.
Republic of the Congo,AF,2.7,Republic of the Congo has a current risk level of 2.7 (out of 5). We advise: Use some caution when travelling Republic of the Congo.,2024-08-13 08:21:03,https://www.travel-advisory.info/republic-of-the-congo,-0.7264327,15.6419155,Travel with Caution,Republic of the Congo has a current risk level of 2.7 (out of 5). We advise: Use some caution when travelling Republic of the Congo.
Switzerland,EU,4.0,Switzerland has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Switzerland.,2024-08-13 08:21:03,https://www.travel-advisory.info/switzerland,46.7985624,8.2319736,Not Recommended for Travel,Switzerland has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Switzerland.
Ivory Coast,AF,3.3,Ivory Coast has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Ivory Coast.,2024-08-13 08:21:03,https://www.travel-advisory.info/ivory-coast,7.9897371,-5.5679458,Travel with Caution,Ivory Coast has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Ivory Coast.
Cook Islands,OC,5.0,Cook Islands has a current risk level of 5 (out of 5). We advise: It is not safe to travel Cook Islands.,2024-08-13 08:21:03,https://www.travel-advisory.info/cook-islands,-19.99697155,-157.78587140620786,Not Recommended for Travel,Cook Islands has a current risk level of 5 (out of 5). We advise: It is not safe to travel Cook Islands.
Chile,SA,3.3,Chile has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Chile.,2024-08-13 08:21:03,https://www.travel-advisory.info/chile,-31.7613365,-71.3187697,Travel with Caution,Chile has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Chile.
Cameroon,AF,3.2,Cameroon has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Cameroon.,2024-08-13 08:21:03,https://www.travel-advisory.info/cameroon,4.6125522,13.1535811,Travel with Caution,Cameroon has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Cameroon.
China,AS,3.4,China has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling China.,2024-08-13 08:21:03,https://www.travel-advisory.info/china,35.000074,104.999927,Travel with Caution,China has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling China.
Colombia,SA,3.3,Colombia has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Colombia.,2024-08-13 08:21:03,https://www.travel-advisory.info/colombia,4.099917,-72.9088133,Travel with Caution,Colombia has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Colombia.
Costa Rica,,3.3,Costa Rica has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Costa Rica.,2024-08-13 08:21:03,https://www.travel-advisory.info/costa-rica,10.2735633,-84.0739102,Travel with Caution,Costa Rica has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Costa Rica.
Cuba,,2.8,Cuba has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Cuba.,2024-08-13 08:21:03,https://www.travel-advisory.info/cuba,23.0131338,-80.8328748,Travel with Caution,Cuba has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Cuba.
Cape Verde,AF,2.5,Cape Verde has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Cape Verde.,2024-08-13 08:21:03,https://www.travel-advisory.info/cape-verde,16.0000552,-24.0083947,Travel with Caution,Cape Verde has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Cape Verde.
Christmas Island,OC,0.0,Christmas Island has a current risk level of 0 (out of 5). We advise: Travelling Christmas Island is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/christmas-island,-10.49131475,105.61713690269079,Safe to Travel,Christmas Island has a current risk level of 0 (out of 5). We advise: Travelling Christmas Island is (relatively) safe.
Cyprus,EU,3.0,Cyprus has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Cyprus.,2024-08-13 08:21:03,https://www.travel-advisory.info/cyprus,34.9174159,32.889902651331866,Travel with Caution - Preferred Continent,Cyprus has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Cyprus.
Czech Republic,EU,3.2,Czech Republic has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Czech Republic.,2024-08-13 08:21:03,https://www.travel-advisory.info/czech-republic,49.7439047,15.3381061,Travel with Caution - Preferred Continent,Czech Republic has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Czech Republic.
Germany,EU,3.0,Germany has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Germany.,2024-08-13 08:21:03,https://www.travel-advisory.info/germany,51.1638175,10.4478313,Travel with Caution - Preferred Continent,Germany has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Germany.
Djibouti,AF,3.2,Djibouti has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Djibouti.,2024-08-13 08:21:03,https://www.travel-advisory.info/djibouti,11.8145966,42.8453061,Travel with Caution,Djibouti has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Djibouti.
Denmark,EU,3.2,Denmark has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Denmark.,2024-08-13 08:21:03,https://www.travel-advisory.info/denmark,55.670249,10.3333283,Travel with Caution - Preferred Continent,Denmark has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Denmark.
Dominica,,2.5,Dominica has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Dominica.,2024-08-13 08:21:03,https://www.travel-advisory.info/dominica,15.4113138,-61.3653618,Travel with Caution,Dominica has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Dominica.
Dominican Republic,,3.0,Dominican Republic has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Dominican Republic.,2024-08-13 08:21:03,https://www.travel-advisory.info/dominican-republic,19.0974031,-70.3028026,Travel with Caution,Dominican Republic has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Dominican Republic.
Algeria,AF,3.0,Algeria has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Algeria.,2024-08-13 08:21:03,https://www.travel-advisory.info/algeria,28.0000272,2.9999825,Travel with Caution,Algeria has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Algeria.
Ecuador,SA,3.3,Ecuador has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Ecuador.,2024-08-13 08:21:03,https://www.travel-advisory.info/ecuador,-1.3397668,-79.3666965,Travel with Caution,Ecuador has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Ecuador.
Estonia,EU,2.6,Estonia has a current risk level of 2.6 (out of 5). We advise: Use some caution when travelling Estonia.,2024-08-13 08:21:03,https://www.travel-advisory.info/estonia,58.7523778,25.3319078,Travel with Caution - Preferred Continent,Estonia has a current risk level of 2.6 (out of 5). We advise: Use some caution when travelling Estonia.
Egypt,AF,3.4,Egypt has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling Egypt.,2024-08-13 08:21:03,https://www.travel-advisory.info/egypt,26.2540493,29.2675469,Travel with Caution,Egypt has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling Egypt.
Western Sahara,AF,0.0,Western Sahara has a current risk level of 0 (out of 5). We advise: Travelling Western Sahara is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/western-sahara,24.1797324,-13.7667848,Safe to Travel,Western Sahara has a current risk level of 0 (out of 5). We advise: Travelling Western Sahara is (relatively) safe.
Eritrea,AF,3.2,Eritrea has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Eritrea.,2024-08-13 08:21:03,https://www.travel-advisory.info/eritrea,15.9500319,37.9999668,Travel with Caution,Eritrea has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Eritrea.
Spain,EU,3.0,Spain has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Spain.,2024-08-13 08:21:03,https://www.travel-advisory.info/spain,39.3260685,-4.8379791,Travel with Caution - Preferred Continent,Spain has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Spain.
Ethiopia,AF,3.5,Ethiopia has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Ethiopia.,2024-08-13 08:21:03,https://www.travel-advisory.info/ethiopia,10.2116702,38.6521203,Travel with Caution,Ethiopia has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Ethiopia.
Finland,EU,3.0,Finland has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Finland.,2024-08-13 08:21:03,https://www.travel-advisory.info/finland,63.2467777,25.9209164,Travel with Caution - Preferred Continent,Finland has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Finland.
Fiji,OC,3.0,Fiji has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Fiji.,2024-08-13 08:21:03,https://www.travel-advisory.info/fiji,-18.1239696,179.0122737,Travel with Caution,Fiji has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Fiji.
Falkland Islands,SA,0.0,Falkland Islands has a current risk level of 0 (out of 5). We advise: Travelling Falkland Islands is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/falkland-islands,-51.9492937,-59.5383657,Safe to Travel,Falkland Islands has a current risk level of 0 (out of 5). We advise: Travelling Falkland Islands is (relatively) safe.
Micronesia,OC,1.0,Micronesia has a current risk level of 1 (out of 5). We advise: Travelling Micronesia is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/micronesia,8.6062347,151.832744331612,Safe to Travel,Micronesia has a current risk level of 1 (out of 5). We advise: Travelling Micronesia is (relatively) safe.
Faroe Islands,EU,0.0,Faroe Islands has a current risk level of 0 (out of 5). We advise: Travelling Faroe Islands is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/faroe-islands,62.0448724,-7.0322972,Safe to Travel - Preferred Continent,Faroe Islands has a current risk level of 0 (out of 5). We advise: Travelling Faroe Islands is (relatively) safe.
France,EU,3.0,France has a current risk level of 3 (out of 5). We advise: Use some caution when travelling France.,2024-08-13 08:21:03,https://www.travel-advisory.info/france,46.603354,1.8883335,Travel with Caution - Preferred Continent,France has a current risk level of 3 (out of 5). We advise: Use some caution when travelling France.
Gabon,AF,3.5,Gabon has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Gabon.,2024-08-13 08:21:03,https://www.travel-advisory.info/gabon,-0.8999695,11.6899699,Travel with Caution,Gabon has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Gabon.
United Kingdom,EU,3.0,United Kingdom has a current risk level of 3 (out of 5). We advise: Use some caution when travelling United Kingdom.,2024-08-13 08:21:03,https://www.travel-advisory.info/united-kingdom,54.7023545,-3.2765753,Travel with Caution - Preferred Continent,United Kingdom has a current risk level of 3 (out of 5). We advise: Use some caution when travelling United Kingdom.
Grenada,,2.5,Grenada has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Grenada.,2024-08-13 08:21:03,https://www.travel-advisory.info/grenada,12.1360374,-61.6904045,Travel with Caution,Grenada has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Grenada.
Georgia,AS,3.0,Georgia has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Georgia.,2024-08-13 08:21:03,https://www.travel-advisory.info/georgia,32.3293809,-83.1137366,Travel with Caution,Georgia has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Georgia.
French Guiana,SA,4.0,French Guiana has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to French Guiana.,2024-08-13 08:21:03,https://www.travel-advisory.info/french-guiana,4.0039882,-52.999998,Not Recommended for Travel,French Guiana has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to French Guiana.
Guernsey,EU,0.0,Guernsey has a current risk level of 0 (out of 5). We advise: Travelling Guernsey is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/guernsey,49.46229125,-2.5812022503294356,Safe to Travel - Preferred Continent,Guernsey has a current risk level of 0 (out of 5). We advise: Travelling Guernsey is (relatively) safe.
Ghana,AF,3.4,Ghana has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling Ghana.,2024-08-13 08:21:03,https://www.travel-advisory.info/ghana,8.0300284,-1.0800271,Travel with Caution,Ghana has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling Ghana.
Gibraltar,EU,0.0,Gibraltar has a current risk level of 0 (out of 5). We advise: Travelling Gibraltar is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/gibraltar,36.1285933,-5.3474761,Safe to Travel - Preferred Continent,Gibraltar has a current risk level of 0 (out of 5). We advise: Travelling Gibraltar is (relatively) safe.
Greenland,,0.0,Greenland has a current risk level of 0 (out of 5). We advise: Travelling Greenland is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/greenland,35.9948477,-94.1796014,Safe to Travel,Greenland has a current risk level of 0 (out of 5). We advise: Travelling Greenland is (relatively) safe.
Gambia,AF,2.8,Gambia has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Gambia.,2024-08-13 08:21:03,https://www.travel-advisory.info/gambia,13.470062,-15.4900464,Travel with Caution,Gambia has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Gambia.
Guinea,AF,4.0,Guinea has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Guinea.,2024-08-13 08:21:03,https://www.travel-advisory.info/guinea,10.7226226,-10.7083587,Not Recommended for Travel,Guinea has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Guinea.
Guadeloupe,,4.0,Guadeloupe has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Guadeloupe.,2024-08-13 08:21:03,https://www.travel-advisory.info/guadeloupe,16.2528827,-61.5686855,Not Recommended for Travel,Guadeloupe has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Guadeloupe.
Equatorial Guinea,AF,3.0,Equatorial Guinea has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Equatorial Guinea.,2024-08-13 08:21:03,https://www.travel-advisory.info/equatorial-guinea,1.613172,10.5170357,Travel with Caution,Equatorial Guinea has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Equatorial Guinea.
Greece,EU,2.8,Greece has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Greece.,2024-08-13 08:21:03,https://www.travel-advisory.info/greece,38.9953683,21.9877132,Travel with Caution - Preferred Continent,Greece has a current risk level of 2.8 (out of 5). We advise: Use some caution when travelling Greece.
South Georgia and the South Sandwich Islands,AN,0.0,South Georgia and the South Sandwich Islands has a current risk level of 0 (out of 5). We advise: Travelling South Georgia and the South Sandwich Islands is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/south-georgia-and-the-south-sandwich-islands,-54.8432857,-35.8090698,Safe to Travel,South Georgia and the South Sandwich Islands has a current risk level of 0 (out of 5). We advise: Travelling South Georgia and the South Sandwich Islands is (relatively) safe.
Guatemala,,3.4,Guatemala has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling Guatemala.,2024-08-13 08:21:03,https://www.travel-advisory.info/guatemala,15.5855545,-90.345759,Travel with Caution,Guatemala has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling Guatemala.
Guam,OC,4.0,Guam has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Guam.,2024-08-13 08:21:03,https://www.travel-advisory.info/guam,13.4499943,144.7651677,Not Recommended for Travel,Guam has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Guam.
Guinea-Bissau,AF,3.0,Guinea-Bissau has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Guinea-Bissau.,2024-08-13 08:21:03,https://www.travel-advisory.info/guinea-bissau,11.815215,-15.2351044,Travel with Caution,Guinea-Bissau has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Guinea-Bissau.
Guyana,SA,4.0,Guyana has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Guyana.,2024-08-13 08:21:03,https://www.travel-advisory.info/guyana,4.8417097,-58.6416891,Not Recommended for Travel,Guyana has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to Guyana.
Hong Kong,AS,3.6,Hong Kong has a current risk level of 3.6 (out of 5). We advise: Please reconsider your need to travel to Hong Kong.,2024-08-13 08:21:03,https://www.travel-advisory.info/hong-kong,22.2793278,114.1628131,Travel with Caution,Hong Kong has a current risk level of 3.6 (out of 5). We advise: Please reconsider your need to travel to Hong Kong.
